,Datetime,tags
0,2019년 12월 24일,  #구미    #카페앙버터    #앙버터    #딸기    #구미카페    #금리단길    #카페    #일상  
1,2019년 11월 20일,  
2,2019년 12월 24일,  #일상    #daily    #dailygram    #맞팔    #소통    #카페    #인천    #인천카페    #용인카페    #녹차    #녹차라떼    #크리스마스    #크리스마스이브  
3,2019년 12월 24일,  #봉쥬르네일    #대구네일    #경산네일    #크리스마스    #좋아요    #연말    #대구    #경산    #selfie    #daily    #f4follow    #f4f    #fff    #동성로    #핫플    #카페    #뷰티    #맞팔    #선팔    #파티    #옥산동네일    #좋반  
4,2019년 12월 24일,  
5,2019년 12월 5일,  #셀스타그램    #먹스타그램    #셀카    #인친    #생일    #일상    #친구    #아이폰    #선팔하면맞팔    #좋아요반사    #첫줄    #맛집    #댓글    #팔로우    #선팔    #선팔맞팔    #선팔맞팔환영    #맞팔    #좋반    #팔로잉    #팔로우미    #팔로워    #팔로우백    #카페    #데일리룩    #패션    #쇼핑    #부평    #f4f    #followforfollowback  
6,2019년 12월 24일,  
7,2019년 12월 24일,  #고야드    #고야드캐리어    #리모와오리지널    #리모와토파즈    #리모와클래식    #리모와클래식플라이트    #리모와트렁크    #리모와스포츠    #리모와에센셜    #리모와살사    #리모와림보    #리모와살사에센셜    #리모와공구    #리모와이센셜    #여행    #공항패션    #하노이여행    #일본여행    #태국여행    #베트남여행    #도쿄맛집    #제주도맛집    #후쿠오카맛집    #선팔하면맞팔    #카페    #젊줌마    #셀스타그램    #공항캐리어    #명품캐리어    #발리여행  
8,2019년 12월 24일,  #초당쌍포크    #구운호떡    #coffee    #커피스타그램    #foodstylistagram    #먹스타그램    #강릉맛집    #일상    #소통    #daily    #카페    #cafestagram    #ssangfork    #cafe    #homecafe    #l4l    #f4f    #꾼    #쌍포크    #쌍포크호떡    #초당쌍포크집    #강원도    #떡볶이    #강릉  
9,2019년 12월 24일,  #점심시간    #크리스마스이브    #크리스마스    #점심    #회사    #셀카    #셀피    #얼스타그램    #셀스타그램    #맛점    #성수연방    #카페    #맛스타그램    #분위기    #일상    #데이리    #뷰티스타그램    #인친    #맞팔    #소통    #좋아요    #팔로우    #인스타그램  
10,2019년 12월 21일,  
11,2019년 12월 24일,  #술스타그램    #셀기꾼    #셀스타그램    #인스타그램    #인스타데일리    #여행스타그램    #셀피    #홍대    #사진    #아침    #헬스타그램    #가로수길    #이태원    #동성로    #서면    #해운대    #광안리    #데일리    #영화    #좋아요    #인친    #소통    #팔로미    #팔로우    #좋아요반사    #카페    #아이폰    #운동스타그램    #인테리어    #쇼핑  
